text,label,meta,context,source,target
"In 2018, the U.S. court awarded the Warmbiers US$501.14 million from the North Korean regime.",AID,PLOVER event record.|PLV|split=train|sentence_id=945,,U.S. court,Warmbiers
Malloy says Syrian Refugees granted asylum are welcome in Connecticut.,AGREE,PLOVER event record.|PLV|split=train|sentence_id=905,,Malloy,Syrian Refugees
"Germany has been the second-largest donor, contributing $46 million in 2017 to the Iraq Humanitarian Fund, a pooled fund managed by the UN's Office for the Coordination of Humanitarian Affairs.",AID,PLOVER event record.|PLV|split=train|sentence_id=10,,Germany,Iraq Humanitarian Fund
Ecuador has granted political asylum to Julian Assange.,AID,PLOVER event record.|PLV|split=train|sentence_id=25,,Ecuador,Julian Assange
"At least 20,000 donations totaling $670,000 had come to Navajo bation from Ireland by Wednesday morning, a GoFundMe representative told the Navajo and Hopi organizers.",AID,PLOVER event record.|PLV|split=train|sentence_id=49,,Ireland,Navajo
"In terms of asylum, Lithuania first opened its borders to refugees in 1997.",AID,PLOVER event record.|PLV|split=train|sentence_id=112,,Lithuania,refugees
Germany gave 352.5 million euros to promote private investment and sustainable economic development in Ethiopia.,AID,PLOVER event record.|PLV|split=train|sentence_id=122,,Germany,Ethiopia
"Germany, Russia, Switzerland, Sweden, Norway, Finland and Denmark have already provided their complete annual donations to Palestinians.",AID,PLOVER event record.|PLV|split=train|sentence_id=128,,"Germany, Russia, Switzerland, Sweden, Norway, Finland and Denmark",Palestinians
"The World Health Organization (WHO) is providing urgent assistance to meet the health needs of thousands of people impacted by flooding in Malawi, Mozambique and Zimbabwe.",AID,PLOVER event record.|PLV|split=train|sentence_id=194,,World Health Organization (WHO),"people impacted by flooding in Malawi, Mozambique and Zimbabwe"
The Federal Foreign Office has provided €28 million this year to pay for humanitarian aid for those affected in Yemen.,AID,PLOVER event record.|PLV|split=train|sentence_id=202,,Federal Foreign Office,Yemen
Turkey's parliament on Thursday approved troop deployments in Libya with an eye to Ankara's power projection in the eastern Mediterranean.,AID,PLOVER event record.|PLV|split=train|sentence_id=209,,Turkey's parliament,Libya
"Kosovo is sending a military platoon to Kuwait, its first ever involvement in an international peacekeeping mission.",AID,PLOVER event record.|PLV|split=train|sentence_id=252,,Kosovo,Kuwait
"Australia lended $1 billion to Indonesia to aid the country's COVID-19 recovery, the latest in a line of measures designed to bolster Canberra's relationships with its Southeast Asian and Pacific neighbors.",AID,PLOVER event record.|PLV|split=train|sentence_id=264,,Australia,Indonesia
U.S. military gives medical equipment to Nicaragua.,AID,PLOVER event record.|PLV|split=train|sentence_id=270,,U.S. military,Nicaragua
"Nigeria on Saturday announced the deployment of 230 troops, including 19 officers, to Liberia on a peacekeeping mission.",AID,PLOVER event record.|PLV|split=train|sentence_id=282,,Nigeria,Liberia
"He said that on Oct. 14, the Israeli government approved a plan to build a complete settlement neighborhood, including 31 settlement units in the Old City in Hebron.",AID,PLOVER event record.|PLV|split=train|sentence_id=295,,Israeli government,Old City in Hebron
The United States remains the largest single donor of humanitarian assistance in Iraq.,AID,PLOVER event record.|PLV|split=train|sentence_id=308,,United States,Iraq
The Israeli NGO Israel Flying Aid has been providing humanitarian aid to Syrians for years through a full undercover unit of all native Arabic speakers.,AID,PLOVER event record.|PLV|split=train|sentence_id=328,,Israeli NGO Israel Flying Aid,Syrians
"The United States accepted 1,141 Iraqi refugees in May, the most the U.S. has taken in one month, and officials say they're on track to meet this fiscal year's goal of 12,000.",AID,PLOVER event record.|PLV|split=train|sentence_id=333,,United States,"1,141 Iraqi refugees"
EU provides €45m support for agri-businesses in Nigeria and other African countries.,AID,PLOVER event record.|PLV|split=train|sentence_id=348,,EU,Nigeria and other African countries
The Chinese government's assistance package consisted of $22.5 million in relief supplies aimed at ameliorating food shortages in Yemen and combating the country's burgeoning cholera epidemic.,AID,PLOVER event record.|PLV|split=train|sentence_id=355,,Chinese government,Yemen
"The United States is the leading international donor to Sudan, providing more than $5 billion in assistance to Sudan since 2005, including $3.7 billion in humanitarian and peacekeeping assistance to Darfur.",AID,PLOVER event record.|PLV|split=train|sentence_id=360,,United States,Sudan
The U.S. government had consistently supported economic assistance to the Palestinians.,AID,PLOVER event record.|PLV|split=train|sentence_id=415,,U.S. government,Palestinians
"The budget speech and relevant documents have been provided to the opposition members including Leader of the Opposition Shahbaz Sharif, Shahid Khaqan Abbasi, Ahsan Iqbal and Marryyam Aurangzeb who are in isolation since they were also tested positive coronavirus.",AID,PLOVER event record.|PLV|split=train|sentence_id=424,,actor,"opposition members including Leader of the Opposition Shahbaz Sharif, Shahid Khaqan Abbasi, Ahsan Iqbal and Marryyam Aurangzeb"
First contingents of West African peacekeeping troops arrive in Monrovia.,AID,PLOVER event record.|PLV|split=train|sentence_id=426,,West African peacekeeping troops,Monrovia
The United States has also provided nearly $1.7 billion in humanitarian assistance to support Syrian refugees in Jordan since the start of the Syria crisis.,AID,PLOVER event record.|PLV|split=train|sentence_id=435,,United States,Syrian refugees in Jordan
The non-governmental organization Medecins Sans Frontieres flew over 13 metric tons of medicine into Afghanistan.,AID,PLOVER event record.|PLV|split=train|sentence_id=436,,non-governmental organization Medecins Sans Frontieres,Afghanistan
"The Saudi-spearheaded military intervention in Yemen against Iranian-backed Houthi rebels, which began in 2015, has received significant logistics and financial support from the U.S. military.",AID,PLOVER event record.|PLV|split=train|sentence_id=449,,U.S. military,Saudi-spearheaded military intervention in Yemen
"The German Government is one of the largest bilateral donors, with support focusing on the areas of water, economic development, public safety (police) , governance and education.",AID,PLOVER event record.|PLV|split=train|sentence_id=476,,German Government,recipient
The U.S. government has donated a shipment of 250 state-of-the-art ventilators and other critical care equipment to assist Ethiopia with its response to COVID-19.,AID,PLOVER event record.|PLV|split=train|sentence_id=502,,U.S. government,Ethiopia
"Action Against Hunger says it is currently providing food assistance every month to approximately 300,000 people in northeast Nigeria who have no access to livelihoods and food.",AID,PLOVER event record.|PLV|split=train|sentence_id=508,,Action Against Hunger,northeast Nigeria
"The total number of people evacuated from Haiti by the U.S. is approximately 10,500, of which 8,300 were American citizens.",AID,PLOVER event record.|PLV|split=train|sentence_id=510,,U.S.,Haiti
"Germany accepts more than 1,500 people now living in Greek refugee camps.",AID,PLOVER event record.|PLV|split=train|sentence_id=528,,Germany,Greek refugee camps
"The European Commission has announced additional humanitarian assistance of €60 million to help people in Somalia, Ethiopia and Kenya, who have been facing critical levels of food insecurity due to severe drought.",AID,PLOVER event record.|PLV|split=train|sentence_id=551,,European Commission,"Somalia, Ethiopia and Kenya"
The Ecowas peacekeepers are being deployed to relieve the Angolan military personnel.,AID,PLOVER event record.|PLV|split=train|sentence_id=594,,Ecowas peacekeepers,Angolan military personnel
"This week, the United States handed over more than USD $4 million worth of new medical equipment and medicines to the Ministry of Health of Ethiopia, for use in hospitals and health centers.",AID,PLOVER event record.|PLV|split=train|sentence_id=610,,United States,Ministry of Health of Ethiopia
"This additional funding, which will help people facing increased food insecurity in Zimbabwe urban areas, demonstrates the US commitment to the people of Zimbabwe, he said.",AID,PLOVER event record.|PLV|split=train|sentence_id=621,,US,Zimbabwe urban areas
Germany is adding a specialized medical evacuation airplane to the voluntary pool of resources which EU countries have made available to fight the Ebola epidemic in West Africa.,AID,PLOVER event record.|PLV|split=train|sentence_id=628,,Germany,West Africa
"In the 1980s, Iran had opened its borders to displaced Afghans who had fled Soviet occupation.",AID,PLOVER event record.|PLV|split=train|sentence_id=631,,Iran,displaced Afghans
"In all, 30,000 Irish soldiers served in Lebanon over 23 years.",AID,PLOVER event record.|PLV|split=train|sentence_id=645,,"30,000 Irish soldiers",Lebanon
Germany has reinforced its commitment to Syrian refugees and vulnerable Jordanians with a contribution of €56 million (JOD43.7 million) .,AID,PLOVER event record.|PLV|split=train|sentence_id=646,,Germany,Syrian refugees and vulnerable Jordanians
"The Vice President announced the U.S. government had provided $340 million for assistance in northern Iraq, focusing on helping full inclusion, tolerance, and protection of the rights of religious minorities.",AID,PLOVER event record.|PLV|split=train|sentence_id=654,,U.S. government,northern Iraq
ISLAMABAD: The Japanese government has provided $49 million grant assistance for the extension of intensive care at maternal and child health care centre and children's hospital at the Pakistan Institute of Medical Sciences (PIMS) and to strengthen cargo inspection capacity at dry ports of the country.,AID,PLOVER event record.|PLV|split=train|sentence_id=698,,Japanese government,Pakistan Institute of Medical Sciences (PIMS)
"The Australian Government provided around $400 million in total ODA to Indonesia in 2015-16, including an estimated $323 million in bilateral funding managed by DFAT.",AID,PLOVER event record.|PLV|split=train|sentence_id=758,,Australian Government,Indonesia
"Dozens of Russian peacekeepers destined for Nagorno-Karabakh began deploying Tuesday, hours after Armenia and Azerbaijan agreed to halt fighting over the separatist region.",AID,PLOVER event record.|PLV|split=train|sentence_id=762,,Dozens of Russian peacekeepers,Nagorno-Karabakh
The President established the Commission for Assistance to a Free Cuba to reassure the Cuban people that the United States stands ready to help them transition toward democracy and provided more than $400 million to promote freedom and democracy in Cuba.,AID,PLOVER event record.|PLV|split=train|sentence_id=771,,President,Cuban people
"The US military sent 200 troops in Syria to serve as a peacekeeping force after it pulls out most of its soldiers, the White House says.",AID,PLOVER event record.|PLV|split=train|sentence_id=781,,US military,Syria
"In addition, Azerbaijani troops participate in peacekeeping operations in Afghanistan and Iraq.",AID,PLOVER event record.|PLV|split=train|sentence_id=799,,Azerbaijani troops,Afghanistan and Iraq
Former President George W. Bush is raising money for Republican Kevin Cramer's Senate bid in North Dakota.,AID,PLOVER event record.|PLV|split=train|sentence_id=804,,Former President George W. Bush,Republican Kevin Cramer's Senate bid
"In cooperation with international partners, USAID provided basic shelter materials to 1.5 million people in the five months after the earthquake in Haiti.",AID,PLOVER event record.|PLV|split=train|sentence_id=806,,USAID,Haiti
Australian aid also supported 2 million more Pakistani girls going to school.,AID,PLOVER event record.|PLV|split=train|sentence_id=808,,Australian aid,Pakistani girls
"China's health ministry sent a team of medical experts, equipment and drugs to the hospital, where two Chinese were said to be in a critical condition.",AID,PLOVER event record.|PLV|split=train|sentence_id=838,,China's health ministry,hospital
Germany on Thursday announced a sixfold increase in funding to fight the Ebola epidemic in West Africa.,AID,PLOVER event record.|PLV|split=train|sentence_id=853,,Germany,West Africa
"Turkey very generously opened its borders to such a large number of Syrians, Iraqis and Afghans.",AID,PLOVER event record.|PLV|split=train|sentence_id=878,,Turkey,"Syrians, Iraqis and Afghans"
"Russia has supplied 94% of military equipment Armenia has obtained in the past five years, according to a report released by the Stockholm International Peace Research Institute's (SIPRI) .",AID,PLOVER event record.|PLV|split=train|sentence_id=881,,Russia,Armenia
Germany spent a record 23 billion euros ($25.65 billion) last year on helping to integrate more than one million refugees and fighting the root causes of migration abroad.,AID,PLOVER event record.|PLV|split=train|sentence_id=886,,Germany,refugees
Roberts says the U.S. military is training Iraqi pilots to fly F-16s at the request of Iraq's government.,AID,PLOVER event record.|PLV|split=train|sentence_id=910,,U.S. military,Iraqi pilots
The New Zealand government provided an additional $2 million in assistance to Fiji in response to Cyclone Yasa.,AID,PLOVER event record.|PLV|split=train|sentence_id=918,,New Zealand government,Fiji
"Approximately 2,000 Russian soldiers were deployed as peacekeeping forces along the Lachin corridor between Armenia and Nagorno-Karabakh for a mandate of at least five years.",AID,PLOVER event record.|PLV|split=train|sentence_id=991,,"Approximately 2,000 Russian soldiers",Lachin corridor between Armenia and Nagorno-Karabakh
The Canadian International Development Agency gave $2 million to Nigeria's agricultural sector to facilitate rural growth.,AID,PLOVER event record.|PLV|split=train|sentence_id=1015,,Canadian International Development Agency,Nigeria's agricultural sector
Japan is sending troops to the United Nations peacekeeping force in South Sudan.,AID,PLOVER event record.|PLV|split=train|sentence_id=1038,,Japan,South Sudan
The United States is once again sending aid to Afghanistan.,AID,PLOVER event record.|PLV|split=train|sentence_id=1042,,United States,Afghanistan
"Japanese peacekeepers arrive at the Juba airport to participate in the United Nations Mission in South Sudan (UNMISS) in South Sudan's capital Juba, Nov. 21, 2016.",AID,PLOVER event record.|PLV|split=train|sentence_id=565,,Japanese peacekeepers,Juba airport
The European Union has deployed election observers in Zimbabwe for the first time in 16 years as the country prepares for its first vote since independence without longtime leader Robert Mugabe.,AID,PLOVER event record.|PLV|split=train|sentence_id=89,,European Union,election observers in Zimbabwe
The missiles fired by the Israeli military struck an arms depot of the Syrian army or its allied forces after midnight.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=7,,missiles fired by the Israeli military,arms depot of the Syrian army or its allied forces
"Taliban attackers stormed a regional police headquarters in eastern Afghanistan today, killing five officers and injuring 22 people in an assault launched by a suicide bomber.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=11,,Taliban attackers,regional police headquarters in eastern Afghanistan
"Gul Rahman, a suspected militant, was tortured and killed in a secret CIA prison in Afghanistan.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=13,,Afghanistan,Gul Rahman
"Russian armed forces launched a cruise-missile attack on Islamic State targets in Syria's Hama province, the defense ministry said.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=15,,Russian armed forces,Islamic State targets in Syria's Hama province
Members of the New People's Army violated Philippine's holiday ceasefire in Compostela Valley.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=16,,Members of the New People's Army,Philippine's holiday ceasefire
"A Venezuelan police helicopter attacked the country's Supreme Court building and a government ministry in Caracas on Tuesday, in what embattled President Nicolas Maduro described as a terror attack by people seeking a coup.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=21,,Venezuelan police helicopter,country's Supreme Court building and a government ministry in Caracas
"A suicide bomber have carried out apparently coordinated attacks on Iran's parliament, state media said on Wednesday, with at least two people reported killed.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=31,,suicide bomber,Iran's parliament
The Yemeni army and allied fighters have hit military positions in Saudi Arabia's Asir region with a ballistic missile and destroyed them.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=37,,Yemeni army and allied fighters,military positions in Saudi Arabia's Asir region
"A car bombing by the Islamic State group killed at least 75 displaced people in eastern Syria, a monitor said Sunday, as the cornered extremists appeared to target fleeing civilians.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=46,,car bombing by the Islamic State,at least 75 displaced people in eastern Syria
"At least 26 people were killed and 41 wounded today after a Taliban-claimed car bomb struck a bus carrying government employees through a Shiite neighbourhood in Kabul, raising fears of sectarian violence in the Afghan capital.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=63,,Taliban-claimed car bomb,bus carrying government employees through a Shiite neighbourhood in Kabul
"MOGADISHU, Somalia -- A U.S. military airstrike has killed a worker for a telecom company in Somalia, officials in the country said Tuesday.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=64,,U.S. military airstrike,worker for a telecom company in Somalia
"AQAP has carried out numerous attacks, primarily on military and security targets in Yemen's southern and eastern governorates, killing dozens of people.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=98,,AQAP,on military and security targets in Yemen's southern and eastern governorates
KABUL - A Taliban attack on a government compound in western Badghis province has killed at least 20 troops and policemen.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=129,,Taliban,government compound in western Badghis province
"Troops loyal to defiant Ivory Coast leader Laurent Gbagbo blockaded his rival Alassane Ouattara's headquarters Monday, in the first armed stand-off of the west African nation's two-week-old crisis.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=132,,Troops loyal to defiant Ivory Coast leader Laurent Gbagbo,his rival Alassane Ouattara's headquarters
"After months of deliberations and attempts to convince president George W. Bush to take action, prime minister Ehud Olmert sent Israeli Air Force fighter jets to destroy Syria's reactor on September 6, 2007.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=141,,prime minister Ehud Olmert,Syria's reactor
"In September, a car bomb in Kiev killed another ethnic Chechen who had fought on the Ukrainian side.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=146,,car bomb,another ethnic Chechen
"Soon after their withdrawal, Erdogan commenced air and ground assaults on Syrian Kurdish fighters who have been helping the U.S. battle Islamic State extremists there, which numerous lawmakers and others had warned would happen.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=173,,Erdogan,Syrian Kurdish fighters
"Libya's Government of National Accord (GNA) captured three cities west of the capital Tripoli on Monday in a new advance against forces loyal to eastern militia leader Khalifa Haftar, according to social media accounts run by GNA forces.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=177,,Libya's Government of National Accord (GNA),three cities west of the capital Tripoli
"A suicide attack on a convoy belonging to the Nato mission in Afghanistan has killed at least eight people in Kabul, officials say.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=179,,suicide attack on a convoy belonging to the Nato mission,at least eight people in Kabul
The Pakistan army violated ceasefire by shelling with mortars and firing small arms along the Line of Control (LoC) in Jammu and Kashmir's Poonch district.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=186,,Pakistan army,Jammu and Kashmir's Poonch district
"On the 13th, Boko Haram attacked a military base in Borno state village of Kamuya leaving scores dead.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=190,,Boko Haram,military base in Borno state village of Kamuya
"U.S. military airstrikes this month in the area have killed dozens of IS members, including the terrorist group's chief of operations for northern Afghanistan, Qari Hekmatullah.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=222,,U.S. military airstrikes,"dozens of IS members, including the terrorist group's chief of operations for northern Afghanistan, Qari Hekmatullah"
Armenian-backed militias violated ceasefire in occupied Karabakh 115 times in last 24 hours.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=226,,Armenian-backed militias,occupied Karabakh
"Nepal has tightened borders and imposed blockades in the worst-damaged areas, including the capital, but it may not be enough to contain the virus as it extends to the entire capital and even to Everest Base Camp.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=232,,Nepal,"worst-damaged areas, including the capital"
"Syrian government shelling killed one Turkish soldier and wounded another in northwest Syria, Turkey's Defense Ministry announced, days after serious clashes between the two armies appeared to signal a new stage in the nine-year war.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=241,,Syrian government shelling,one Turkish soldier
Kurdish prisoner Serkan Tumay has died as a result of the torture to which he was subjected in a detention center in Kırıkkale province in central Anatolia.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=243,,detention center in Kırıkkale province in central Anatolia,Kurdish prisoner Serkan Tumay
Iraqi security forces opened fire on protesters who defied a curfew in Baghdad and exchanged fire with gunmen in a southern city.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=245,,Iraqi security forces,protesters
"In July, British Royal Marines seized the Iranian Grace 1 tanker in waters off the coast of Gibraltar, on suspicion it was carrying oil to Syria, a close ally of Iran, in violation of EU sanctions.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=259,,British Royal Marines,Iranian Grace 1 tanker
Los Zetas cartel has been responsible for mass killings and beheadings in northern Mexico.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=273,,Los Zetas cartel,northern Mexico
"At least two people were killed when ISIL launched an attack on the Iraqi embassy in Kabul on Monday, with a suicide bomber blowing himself up outside the gates followed by three gunmen storming the building.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=276,,ISIL,Iraqi embassy in Kabul
French police stormed a migrant camp in Calais Sunday in a crackdown that the inhabitants say is forcing them to risk their lives and try to cross the Channel by boat.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=290,,French police,migrant camp in Calais
"Punjab government imposed blockades in Lahore, Rawalpindi, Multan and Faisalabad.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=299,,Punjab government,"Lahore, Rawalpindi, Multan and Faisalabad"
Syrian government forces continued their attacks on the rebel-held eastern Ghouta region near Damascus for a fifth straight day on Thursday.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=300,,Syrian government forces,rebel-held eastern Ghouta region
Iranian intelligence police tortured a 35-year-old inmate to death in western Iran yesterday.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=330,,Iranian intelligence police,35-year-old inmate
A suicide bomber in Mogadishu killed at least six people in a deadly blast near Somalia's presidential palace on Saturday morning.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=342,,suicide bomber in Mogadishu,at least six people in a deadly blast near Somalia's presidential palace
"In October 2017 the Iraqi army took over Kirkuk and pushed the Kurdish Peshmerga out of the city, threatening to move against Erbil in retaliation for the referendum.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=352,,Iraqi army,Kurdish Peshmerga
"In October 2017 the Iraqi army took over Kirkuk and pushed the Kurdish Peshmerga out of the city, threatening to move against Erbil in retaliation for the referendum.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=352,,Iraqi army,Kirkuk
"That came a day after the Indian military said it had launched airstrikes against a terrorist camp in Pakistan, the first such incursion by Indian air forces since the India-Pakistan war of 1971.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=401,,Indian military,terrorist camp in Pakistan
"The Israeli military said on Friday that it launched wide-scale airstrikes on militant targets in the Gaza Strip shortly after Palestinian militants fired three rockets into Israel, two of which were intercepted.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=406,,Israeli military,militant targets in the Gaza Strip
"Taliban suicide bombers killed 48 people in two separate attacks in Afghanistan on Tuesday, the deadliest taking place near an election rally by President Ashraf Ghani, though he was unhurt.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=412,,Taliban suicide bombers,Afghanistan
"Meanwhile, Iraqi armed forces have begun their assault on the ISIS-held old-city area of Mosul.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=413,,Iraqi armed forces,ISIS-held old-city area of Mosul
Russia launched cyber warfare against UK with dirty tricks.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=419,,Russia,UK
Israel has launched cyber warfare against Iran and Lebanon.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=421,,Israel,Iran and Lebanon
Myanmar Head of Government's party member dies in prison in Rangoon after torture.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=430,,prison in Rangoon,Myanmar Head of Government's party member
"The Israel Defense Forces launched a massive attack on the Gaza Strip late Friday evening, following an exchange of fire between Israeli troops and Palestinians in the Gaza Strip.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=459,,Israel Defense Forces,Gaza Strip
"The Taliban gunmen in reaction killed Abdullah and four other members of his family and freed the Abdullah's father in law and mother in law, he added.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=461,,Taliban gunmen,Abdullah and four other members of his family
"At least 23 civilians were killed on February 5 as Syrian government forces launched air strikes against the rebel-held enclave of Eastern Ghouta near the capital Damascus, a monitor said.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=473,,Syrian government forces,rebel-held enclave of Eastern Ghouta near the capital Damascus
"Yemeni army soldiers, supported by allied fighters from Popular Committees, have reportedly carried out an aerial attack against an important military target in the country's western coastal province of Hudaydah in retaliation for the Saudi-led devastating military aggression against their impoverished homeland.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=501,,"Yemeni army soldiers, supported by allied fighters from Popular Committees",important military target in the country's western coastal province of Hudaydah
Iraqi government troops have captured the mosque in Mosul from where Islamic State proclaimed its self-styled caliphate three years ago.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=517,,Iraqi government troops,mosque in Mosul
"Iraqi warplanes carried out a raid earlier in the day, targeting Islamic State group commanders in eastern Syria, in the second such strike on the jihadists since mid-April, the premier's office said.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=527,,Iraqi warplanes,Islamic State group commanders in eastern Syria
Pakistan has launched cyber warfare against India by spreading fake propaganda on alleged Islamophobia in India.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=535,,Pakistan,India
Saudi Arabia has imposed blockades on Saudi air and sea ports following the operation to prevent Houthi rebels from getting arms supplies.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=537,,Saudi Arabia,Saudi air and sea ports
"BAMAKO - Armed men attacked an army camp in Mali near the border with Mauritania, killing 19 soldiers Sunday, the armed forces said.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=556,,Armed men,army camp in Mali
The Pakistan government recently seized control of the charities run by terrorist Hafiz Saeed.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=564,,Pakistan government,charities run by terrorist Hafiz Saeed
"A Russia-backed Syrian regime offensive on the last major opposition bastion in the country's northwest has displaced more than 800,000 people since December, the United Nations said on Thursday.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=573,,Russia-backed Syrian regime offensive,last major opposition bastion in the country's northwest
Israel's air force carried out strikes Friday evening against Hamas targets throughout the Gaza Strip.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=577,,Israel's air force,Hamas targets
The Taliban attacked an Afghan army base in southern Kandahar province overnight and killed at least 26 soldiers.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=583,,Taliban,Afghan army base
Chinese hackers may have launched cyber attacks on India's power system.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=584,,Chinese hackers,India's power system
A Saudi-led strike on a Yemeni school bus that led to the deaths of 40 children used a Lockheed Martin-made MK 82 guided bomb.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=590,,Saudi-led strike,Yemeni school bus
Syrian government missiles have struck a rebel-held area near the frontier with the Israeli-occupied Golan Heights in the latest phase in an offensive to end the insurgents' presence in southern Syria.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=595,,Syrian government missiles,rebel-held area near the frontier with the Israeli-occupied Golan Heights
"The IDF is currently striking Islamic Jihad terror targets in the Gaza Strip, it said.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=598,,IDF,Islamic Jihad terror targets in the Gaza Strip
US launched cyber attacks on Iran after drone shootdown.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=613,,US,Iran
Political prisoner died in a captivity in Iran due to continued torture and poor treatment.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=615,,captivity in Iran,Political prisoner
"Boko Haram suicide bombers have killed at least 81 people in Nigeria since April, while 67 people have been abducted - mostly women and girls - since the start of the year.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=617,,Boko Haram suicide bombers,at least 81 people in Nigeria
"Hezbollah group systematically used Lebanese civilians as human shields, cynically endangering their lives and well being.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=625,,Hezbollah group,Lebanese civilians
"In October, a Taliban suicide bomber killed 15 Afghan Army trainees as they travelled home from the Marshal Fahim academy.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=626,,Taliban suicide bomber,15 Afghan Army trainees
Taliban militants were holding 2000 people in Buner district in Pakistan to use them as human shields in the case the army attacked.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=639,,Taliban militants,2000 people in Buner district in Pakistan
The Moro Islamic Liberation Front and Philippine government are guilty of violating the ceasefire agreement during the Mamasapano incident.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=644,,Moro Islamic Liberation Front,Philippine government
"On Friday, Palestinian gunmen killed an Israeli soldier along the Gaza fence.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=651,,Palestinian gunmen,Israeli soldier
"Islamic State group jihadists is holding more than 100,000 Iraqi civilians as human shields in the Old City of Mosul.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=671,,Islamic State group jihadists,"more than 100,000 Iraqi civilians"
Iraqi troops launched an assault on the last ISIS group bastion in the country on Thursday even as the Kurds said Baghdad's forces had attacked their fighters near the border with Turkey.,ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=704,,Iraqi troops,last ISIS group bastion in the country
"Government forces and aligned youth's violated South Sudan's ceasefire in a September attack in Jezeera, the country's ceasefire monitors said in a report published today.",ASSAULT,PLOVER event record.|PLV|split=train|sentence_id=707,,Government forces and aligned youth,South Sudan
