text,label,meta,context,source,target
"Criminal Trials/Peterson <s>Scott Peterson</s> has been found guilty of murdering <t>his wife</t> Laci and their unborn son, and he now faces the death penalty.",Conflict,AW|doc_id=1683|sent_id=929|dataset=ace|osplit=train|etype=Life:Die,Life:Die,Agent:Scott Peterson,Victim:his wife
"Criminal Trials/Peterson <s>Scott Peterson</s> has been found guilty of murdering his wife Laci and <t>their unborn son</t>, and he now faces the death penalty.",Conflict,AW|doc_id=1683|sent_id=929|dataset=ace|osplit=train|etype=Life:Die,Life:Die,Agent:Scott Peterson,Victim:their unborn son
What I think was quite appalling from what Dana said on the Oprah show was that <s>the doctors</s> wanted to pull the life support from <t>Chris</t> *without her being there.,Conflict,AW|doc_id=2491|sent_id=986|dataset=ace|osplit=train|etype=Life:Die,Life:Die,Agent:the doctors,Victim:Chris
"Three family members of <s>British Muslim Omar Sharif</s>, who is wanted for the April 30 suicide bomb attack in <t>Israel</t>, were remanded in custody after appearing in a London court on Friday with charges in connection with the blast.",Conflict,AW|doc_id=2417|sent_id=979|dataset=ace|osplit=train|etype=Life:Die,Life:Die,Agent:British Muslim Omar Sharif,Place:Israel
"A brave civilian with a concealed weapons permit tried to stop him but was gunned down by David Hernandez Arroyo Sr, <s>the scumbag</s> who happened to be wearing body armor at the time and who also took out <t>his ex-wife</t> over a child support dispute.",Conflict,AW|doc_id=2936|sent_id=916|dataset=ace|osplit=train|etype=Life:Die,Life:Die,Agent:the scumbag,Victim:his ex-wife
"The interim government didn't hesitate to torture <t>opponents</t>, just like <s>Saddam</s> did.",Conflict,AW|doc_id=2475|sent_id=993|dataset=ace|osplit=train|etype=Life:Injure,Life:Injure,Agent:Saddam,Victim:opponents
"<s>Darius</s>' intent was to dismember, injure or even kill <t>Ferguson</t>.",Conflict,AW|doc_id=3094|sent_id=991|dataset=ace|osplit=train|etype=Life:Injure,Life:Injure,Agent:Darius,Victim:Ferguson
"Well, let's look at what the president is actually proposing for <t>people who have been harmed</t> by <s>a bad doctor</s>.",Conflict,AW|doc_id=41|sent_id=994|dataset=ace|osplit=train|etype=Life:Injure,Life:Injure,Agent:a bad doctor,Victim:people who have been harmed
"Had an armed civilian been inside the mall, perhaps he could have intervened before <s>the suspect</s> began injuring <t>people</t> before he ran out of ammo.",Conflict,AW|doc_id=2926|sent_id=992|dataset=ace|osplit=train|etype=Life:Injure,Life:Injure,Agent:the suspect,Victim:people
"Had an armed civilian been inside <t>the mall</t>, perhaps he could have intervened before <s>the suspect</s> began injuring people before he ran out of ammo.",Conflict,AW|doc_id=2926|sent_id=992|dataset=ace|osplit=train|etype=Life:Injure,Life:Injure,Agent:the suspect,Place:the mall
"<s>The interim government</s> didn't hesitate to torture <t>opponents</t>, just like Saddam did.",Conflict,AW|doc_id=2475|sent_id=993|dataset=ace|osplit=train|etype=Life:Injure,Life:Injure,Agent:The interim government,Victim:opponents
"Chalabi was the first top Iraqi opposition leader to be airlifted by <s>the U.S. military</s> into <t>southern Iraq</t> as the fighting wound down, and he and other top members of his group plan to meet soon in Baghdad.",Conflict,AW|doc_id=2067|sent_id=1083|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Agent:the U.S. military,Destination:southern Iraq
"If the resolution is not passed, <s>Washington</s> would likely want to use the airspace for strikes against Iraq and for airlifting troops to <t>northern Iraq</t>.",Conflict,AW|doc_id=3806|sent_id=129|dataset=ace|osplit=test|etype=Movement:Transport,Movement:Transport,Agent:Washington,Destination:northern Iraq
"The first sizable relief convoy arrived in Iraq during a sandstorm Wednesday as <s>allied forces</s> struggled to clear the way for more aid shipments, using dolphins to remove mines from waterways and hunting Iraqi fighters around <t>the port of Umm Qasr</t>.",Cooperation,AW|doc_id=1849|sent_id=1111|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Agent:allied forces,Destination:the port of Umm Qasr
"The first sizable relief convoy arrived in <t>Iraq</t> during a sandstorm Wednesday as <s>allied forces</s> struggled to clear the way for more aid shipments, using dolphins to remove mines from waterways and hunting Iraqi fighters around the port of Umm Qasr.",Cooperation,AW|doc_id=1849|sent_id=1111|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Agent:allied forces,Destination:Iraq
"Three days after U.S. President George W. Bush promised ``massive amounts'' of humanitarian aid, <s>seven large, battered tractor-trailers</s> arrived in <t>Umm Qasr</t> carrying food and water donated by Kuwaitis.",Cooperation,AW|doc_id=1850|sent_id=1120|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,"Vehicle:seven large, battered tractor-trailers",Destination:Umm Qasr
<s>The plane</s> arrived back to <t>base</t> safely.,Cooperation,AW|doc_id=3278|sent_id=1114|dataset=ace|osplit=dev|etype=Movement:Transport,Movement:Transport,Vehicle:The plane,Destination:base
this would be representing <s>m1-a1 tanks</s> coming towards <t>the bridge</t> firing.,Conflict,AW|doc_id=779|sent_id=1118|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Vehicle:m1-a1 tanks,Destination:the bridge
"The charismatic leader of Turkey's governing party was named prime minister Tuesday, a step that probably boosts chances that <s>the United States</s> will get permission to deploy troops in the country along <t>Iraq's northern border</t>.",Conflict,AW|doc_id=3801|sent_id=1110|dataset=ace|osplit=test|etype=Movement:Transport,Movement:Transport,Agent:the United States,Destination:Iraq's northern border
"With marathon talks at the top world body failing late Thursday to reconcile French and Russian opposition to US-British war plans, <s>the United States</s> upped its military presence, deploying more missile-firing warships to <t>the Red Sea</t>.",Conflict,AW|doc_id=3526|sent_id=638|dataset=ace|osplit=dev|etype=Movement:Transport,Movement:Transport,Agent:the United States,Destination:the Red Sea
he was escorted into <t>iraq</t> tuesday by <s>u.s. marines</s>.,Cooperation,AW|doc_id=3213|sent_id=1090|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Agent:u.s. marines,Destination:iraq
"the man was arrested there after authorities say he hijacked a cuban plane using what was reported to be grenades, ordering <s>the pilots</s> to fly to <t>florida</t>.",Cooperation,AW|doc_id=824|sent_id=1112|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Agent:the pilots,Destination:florida
"for the next 12 hours into the morning, <s>planes from the carrier</s> will fly missions over <t>afghanistan</t>.",Conflict,AW|doc_id=1171|sent_id=1088|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Vehicle:planes from the carrier,Destination:afghanistan
as we watched this picture of <s>the air force one</s> getting into <t>this airport</t> i want to bring in our military analyst general dan crisman to go over what happens happening in baghdad.,Cooperation,AW|doc_id=873|sent_id=1079|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Vehicle:the air force one,Destination:this airport
"The president then climbed aboard <s>Marine One</s>, the helicopter, heading back to <t>the White House</t>, where he will arrive pretty soon.",Cooperation,AW|doc_id=533|sent_id=1115|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Vehicle:Marine One,Destination:the White House
And <s>these bozos</s> let four armed Cubans land on <t>our shores</t> when they're trying to make a high terrorist alert.,Conflict,AW|doc_id=3|sent_id=1077|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Agent:these bozos,Destination:our shores
The United States strongly opposes any unilateral move by <s>Turkey</s> into <t>northern Iraq</t>.,Conflict,AW|doc_id=3863|sent_id=1116|dataset=ace|osplit=test|etype=Movement:Transport,Movement:Transport,Agent:Turkey,Destination:northern Iraq
"Ocalan was moved by <s>the government</s> to <t>its embassy compound in Kenya, where he was captured by Turkish commandos</t>.",Cooperation,AW|doc_id=2343|sent_id=1098|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Agent:the government,"Destination:its embassy compound in Kenya, where he was captured by Turkish commandos"
"<s>The United States</s> meanwhile deployed its B-2 stealth bombers to positions closer to Iraq and ordered as many as 15 warships capable of firing Tomahawk cruise missiles to <t>the Red Sea</t> from the Mediterranean, US officials said.",Conflict,AW|doc_id=3534|sent_id=205|dataset=ace|osplit=dev|etype=Movement:Transport,Movement:Transport,Agent:The United States,Destination:the Red Sea
"but a joyous day for 5,000 sailors and marines and friends and family in the san diego, california area because <s>the giant u.s. carrier</s> constellation is now returning <t>home</t> from the war in iraq.",Cooperation,AW|doc_id=1227|sent_id=1081|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Vehicle:the giant u.s. carrier,Destination:home
American troops stormed a presidential palace and other key buildings in Baghdad as <s>U.S. tanks</s> rumbled into <t>the heart of the battered Iraqi capital</t> on Monday amid the thunder of gunfire and explosions.,Conflict,AW|doc_id=1945|sent_id=75|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Vehicle:U.S. tanks,Destination:the heart of the battered Iraqi capital
"<s>Turkey</s> has said it may send more troops into <t>northern Iraq</t> to prevent refugees from moving north, while U.S. officials have said they advised Turkey against sending large additional forces into northern Iraq.",Conflict,AW|doc_id=1885|sent_id=1121|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Agent:Turkey,Destination:northern Iraq
The <s>British</s> said they had enough control over <t>the area</t> to begin sending in ships.,Conflict,AW|doc_id=1857|sent_id=1108|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Agent:British,Destination:the area
"Prof Mauser added: ""The sad truth is that while the police officers are inspecting farmers' gun cabinets to see if they comply with regulations somewhere in the UK, <s>someone, who has not filled in a firearms certificate form</s>, will be smuggling a gun into <t>the country</t> or selling one to an inner city youth.""",Conflict,AW|doc_id=2863|sent_id=1104|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,"Agent:someone, who has not filled in a firearms certificate form",Destination:the country
"And <s>Iraqi officials</s> promise to take journalists to <t>this particular hospital</t>, the Yarmuk Hospital, that is now located, it's on the southwest of Baghdad, and it appears to be pretty much between the position of where coalition forces have been seen and where Iraq now has a militarized front-line position.",Cooperation,AW|doc_id=426|sent_id=1076|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Agent:Iraqi officials,Destination:this particular hospital
"In last year's trial, the paper was convicted of defaming the government for publishing that <s>trains running to and from <t>southern Sudan</t></s> were used to transport abducted women and children.",Conflict,AW|doc_id=2213|sent_id=1094|dataset=ace|osplit=train|etype=Movement:Transport,Movement:Transport,Vehicle:trains running to and from southern Sudan,Destination:southern Sudan
"a management blunder we heard an awful lot about on behalf of <s>donald carty</s>, the ceo of american airlines, parent company <t>amr</t> has cost carty his job.",Cooperation,AW|doc_id=997|sent_id=1148|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:donald carty,Entity:amr
"reporter: for the first time since being cut from <t>the team in high school</t>, <s>michael jordan</s> was left in the awkward position of being unwanted by the game he has come to define.",Cooperation,AW|doc_id=1129|sent_id=1188|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:michael jordan,Entity:the team in high school
"Our president has repeatedly, for example, relied on a man whom you're aware, <s>Hussein Kamel, Saddam Hussein's son-in-law</s>, leader of the <t>Iraq</t> arms program who defected for a time.",Cooperation,AW|doc_id=3258|sent_id=1186|dataset=ace|osplit=dev|etype=Personnel:End-Position,Personnel:End-Position,"Person:Hussein Kamel, Saddam Hussein's son-in-law",Entity:Iraq
"And I won't dwell on the irony of <s>an Oracle employee</s> being driven out of <t>Oracle</t>, starting his own company, and forcing Ellison to spend $10.3 billion to get his company.",Cooperation,AW|doc_id=3125|sent_id=1151|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:an Oracle employee,Entity:Oracle
"<t>worldcom</t> once employed <s>80,000 people</s> and went broke on the largest corporate bankruptcy in the united states.",Cooperation,AW|doc_id=1256|sent_id=1215|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,"Person:80,000 people",Entity:worldcom
"on wednesday, <t>washington wizards</t>' owner ended the three-year association with <s>jordan</s>.",Cooperation,AW|doc_id=1127|sent_id=1184|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:jordan,Entity:washington wizards
we'll continue to monitor that front on the store yix <s>another veteran war correspondent</s> is being fired for his controversial conduct in <t>iraq</t>.,Cooperation,AW|doc_id=813|sent_id=1211|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:another veteran war correspondent,Place:iraq
<s>two <t>southwest airline</t> pilots</s> were reportedly fired for stripping down.,Cooperation,AW|doc_id=1003|sent_id=1208|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:two southwest airline pilots,Entity:southwest airline
"A year ago, <t>the program</t> was in disarray and <s>the coach</s> was one poorly executed plane trip away from being fired by an over-zealous and too empowered booster with a fat checkbook.",Cooperation,AW|doc_id=3082|sent_id=1150|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:the coach,Entity:the program
"Therefore, on August 20, 2003, bravely Beatriz walked into the <t>USCF</t> Offices in New Windsor and immediately fired <s>17 staff members</s>.",Cooperation,AW|doc_id=3332|sent_id=1202|dataset=ace|osplit=dev|etype=Personnel:End-Position,Personnel:End-Position,Person:17 staff members,Entity:USCF
"Therefore, on August 20, 2003, bravely Beatriz walked into <t>the USCF Offices in New Windsor</t> and immediately fired <s>17 staff members</s>.",Cooperation,AW|doc_id=3332|sent_id=1202|dataset=ace|osplit=dev|etype=Personnel:End-Position,Personnel:End-Position,Person:17 staff members,Place:the USCF Offices in New Windsor
"Of course, it was just a pure coincidence that <s>the 17 people Beatriz fired</s> were the people she had grown to dislike during the year that she worked for <t>the USCF</t> in 1999-2000.",Cooperation,AW|doc_id=3334|sent_id=1183|dataset=ace|osplit=dev|etype=Personnel:End-Position,Personnel:End-Position,Person:the 17 people Beatriz fired,Entity:the USCF
"For this act of stupidity which had caused a grave crisis in <t>the USCF</t>, <s>the accountant</s> was immediately fired.",Cooperation,AW|doc_id=3338|sent_id=1163|dataset=ace|osplit=dev|etype=Personnel:End-Position,Personnel:End-Position,Person:the accountant,Entity:the USCF
"Much like the ""I told you so's"" everyone is throwing at the <t>UGA basketball program</t> after their hiring and subsequent firing of <s>The Harricks</s>, folks around the Buckeye state have to be having similar thoughts.",Cooperation,AW|doc_id=3106|sent_id=1180|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:The Harricks,Entity:UGA basketball program
<s>Former <t>Illinois</t> Senator Carol Moseley-Braun</s> recently decided to run for president.,Cooperation,AW|doc_id=88|sent_id=1164|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:Former Illinois Senator Carol Moseley-Braun,Place:Illinois
<s>the former governor of <t>basra province</t></s> also surrendered to coalition forces today.,Cooperation,AW|doc_id=1042|sent_id=1196|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:the former governor of basra province,Entity:basra province
reporter: <s><t>iraq</t>'s former information minister</s> might need a job right now.,Cooperation,AW|doc_id=1091|sent_id=1189|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:iraq's former information minister,Entity:iraq
"Graham's article has the interesting hook of quoting one of Peterson's rivals, <s>former Congresswoman and <t>State</t> Sen</s>. Leslie Byrne, as approving of the measure because it's ""something that I've been talking about for some time now.""",Cooperation,AW|doc_id=2957|sent_id=1167|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:former Congresswoman and State Sen,Entity:State
"We're talking about possibilities of full scale war with <s>former Congressman Tom Andrews</s>, Democrat of <t>Maine</t>.",Cooperation,AW|doc_id=3255|sent_id=1212|dataset=ace|osplit=dev|etype=Personnel:End-Position,Personnel:End-Position,Person:former Congressman Tom Andrews,Entity:Maine
"He's now national director of Win Without War, and <s>former Congressman Bob Dornan</s>, Republican of <t>California</t>.",Cooperation,AW|doc_id=3256|sent_id=1168|dataset=ace|osplit=dev|etype=Personnel:End-Position,Personnel:End-Position,Person:former Congressman Bob Dornan,Entity:California
"The American rift with Syria deepened this week, with suspicions that Syria might have been behind the assassination of <s><t>Lebanon</t>'s former prime minister</s> in Beirut on Monday.",Cooperation,AW|doc_id=3385|sent_id=1192|dataset=ace|osplit=dev|etype=Personnel:End-Position,Personnel:End-Position,Person:Lebanon's former prime minister,Entity:Lebanon
"Putin, who enjoyed a warm relationship with <s>former <t>Chinese</t> president</s> Jiang Zeming, has made efforts to nurture ties with Hu and was the first world leader to go to Beijing to meet him in December when he was president-in-waiting.",Cooperation,AW|doc_id=3727|sent_id=1187|dataset=ace|osplit=test|etype=Personnel:End-Position,Personnel:End-Position,Person:former Chinese president,Entity:Chinese
"Earlier this month, <s>Toefting</s> said <t>English Premier League club Bolton</t> let him go so he could prepare for the appeal.",Cooperation,AW|doc_id=1891|sent_id=1160|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:Toefting,Entity:English Premier League club Bolton
<s>Swenson</s> herself would also leave <t>the NCA</t>.,Cooperation,AW|doc_id=2690|sent_id=1191|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:Swenson,Entity:the NCA
"Will we have that at <t>the Fed</t>, when <s>Greenspan</s> leaves",Cooperation,AW|doc_id=3145|sent_id=1214|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:Greenspan,Entity:the Fed
"Maurice R. ""Hank"" Greenberg, who turns 80 in May, groomed <s>two sons</s> to be successors, but both have since left <t>AIG</t>.Greenberg Sr. then created an office of the chairman in 2002, which includes co-COOs Martin J. Sullivan and Donald P. Kanak.",Cooperation,AW|doc_id=3160|sent_id=1176|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:two sons,Entity:AIG
I am most concerned if the fortunes of <t>the prior employer</t> took a sudden turn for the worse after <s>the CEO</s> left.,Cooperation,AW|doc_id=3164|sent_id=1170|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:the CEO,Entity:the prior employer
"<t>the company</t> announcing that <s>donald carty</s> is out as ceo, he'll be replaced by gerald aftery.",Cooperation,AW|doc_id=998|sent_id=1194|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:donald carty,Entity:the company
"today, <s>steve case</s> officially out at <t>aol time warner</t>.",Cooperation,AW|doc_id=1157|sent_id=1206|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:steve case,Entity:aol time warner
"<t>Vivendi Universal</t>, the world's second-largest media group after AOL Time Warner of the United States, has been digging out from under a mountain of debt since the removal of <s>expansionist boss Jean-Marie Messier</s> last July, largely through asset sales.",Cooperation,AW|doc_id=3540|sent_id=1209|dataset=ace|osplit=dev|etype=Personnel:End-Position,Personnel:End-Position,Person:expansionist boss Jean-Marie Messier,Entity:Vivendi Universal
"In a tearful news conference after returning to <t>Vancouver</t> two days later, <s>Campbell</s> apologized to British Columbians, but refused to resign as premier.",Cooperation,AW|doc_id=3878|sent_id=1172|dataset=ace|osplit=test|etype=Personnel:End-Position,Personnel:End-Position,Person:Campbell,Place:Vancouver
"In a tearful news conference after returning to Vancouver two days later, <s>Campbell</s> apologized to <t>British Columbians</t>, but refused to resign as premier.",Cooperation,AW|doc_id=3878|sent_id=1172|dataset=ace|osplit=test|etype=Personnel:End-Position,Personnel:End-Position,Person:Campbell,Entity:British Columbians
"a week after these pictures surfaced, and after saying he'd fight for his job, <s>larry eustachy</s> resigned as basketball coach at <t>iowa state</t>.",Cooperation,AW|doc_id=647|sent_id=1149|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:larry eustachy,Entity:iowa state
"<s>the head of <t>the catholic church in phoenix, arizona</t></s>, bishop thomas o'brien has resigned.",Cooperation,AW|doc_id=1387|sent_id=1198|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,"Person:the head of the catholic church in phoenix, arizona","Entity:the catholic church in phoenix, arizona"
"Cheeks, a former Sixers star, is believed to be <t>Philadelphia</t>'s top choice to replace <s>Larry Brown, who resigned last week as coach and was introduced Monday as the coach of the Detroit Pistons</s>.",Cooperation,AW|doc_id=2369|sent_id=1156|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,"Person:Larry Brown, who resigned last week as coach and was introduced Monday as the coach of the Detroit Pistons",Entity:Philadelphia
"<s>Barry Diller</s> resigned as co-chief executive of <t>Vivendi Universal Entertainment</t>, saying it was appropriate for him to step down while Paris-based Vivendi Universal entertains bids for Universal Studios, Universal's theme parks and other entertainment assets.",Cooperation,AW|doc_id=3839|sent_id=1153|dataset=ace|osplit=test|etype=Personnel:End-Position,Personnel:End-Position,Person:Barry Diller,Entity:Vivendi Universal Entertainment
"<s>Colonel Patrick Lang</s>, retired, <t>United states Army</t>, thanks for your insights.",Cooperation,AW|doc_id=288|sent_id=1158|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:Colonel Patrick Lang,Entity:United states Army
<s>military analyst and retired <t>army</t> general claudia kennedy</s> joins me with a look at possibilitys.,Cooperation,AW|doc_id=962|sent_id=1178|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:military analyst and retired army general claudia kennedy,Entity:army
"<s>The pro-reform director of <t>Iran's biggest-selling daily newspaper</t></s> and official organ of Tehran's municipality has stepped down following the appointment of a conservative as the city's new mayor, press reports said Sunday.",Cooperation,AW|doc_id=3675|sent_id=1201|dataset=ace|osplit=test|etype=Personnel:End-Position,Personnel:End-Position,Person:The pro-reform director of Iran's biggest-selling daily newspaper,Entity:Iran's biggest-selling daily newspaper
to our top story of the evening -- <s>martha stewart</s> is stepping down as head of <t>her media empire</t>.,Cooperation,AW|doc_id=674|sent_id=1204|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:martha stewart,Entity:her media empire
"Here's what the ""Dallas Morning News"" reported recently: ""The Texas State Board of Medical Examiners, <t>the agency that pledges to protect the public</t> has granted second and third chances to <s>surgeons</s> who are thrown out of hospitals because they botched operations.",Cooperation,AW|doc_id=31|sent_id=1169|dataset=ace|osplit=train|etype=Personnel:End-Position,Personnel:End-Position,Person:surgeons,Entity:the agency that pledges to protect the public
and <s>the pope</s> will reportedly name <t>a new head of the troubled boston archdiocese</t> this week.,Cooperation,AW|doc_id=1472|sent_id=1216|dataset=ace|osplit=train|etype=Personnel:Nominate,Personnel:Nominate,Agent:the pope,Person:a new head of the troubled boston archdiocese
"Um, well, there's been a couple where -- they've- they talked about the Cabinet -- for -- <s>Bush</s>, and <s>Bush</s> has been, um, you know, selecting <t>new Cabinet members</t> and -- all of the new members are people that I'm- I don't really know very well.",Cooperation,AW|doc_id=1639|sent_id=1218|dataset=ace|osplit=train|etype=Personnel:Nominate,Personnel:Nominate,Agent:Bush,Person:new Cabinet members
"Can you say that the lawyers, <s>the trial lawyers</s> who appoint millions and millions of dollars into <t>Democratic</t> coffers in order to keep this, do you believe that this is healthy...",Cooperation,AW|doc_id=3179|sent_id=1232|dataset=ace|osplit=train|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:the trial lawyers,Recipient:Democratic
"If your organization is <s>a charity</s>, it is generally considered to be inappropriate, and in some jurisdictions, it is illegal to compensate <t>board members</t> for their service.",Cooperation,AW|doc_id=3370|sent_id=1237|dataset=ace|osplit=dev|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:a charity,Recipient:board members
"<s>Johnson</s>'s donations last year included $287,490 for <t>Domocratic gubernatorial hopeful Tim Kaine</t>.",Cooperation,AW|doc_id=2942|sent_id=1243|dataset=ace|osplit=train|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:Johnson,Recipient:Domocratic gubernatorial hopeful Tim Kaine
"I do not think that this will affect the elections unless Russia's failure in Iraq is presented as an issue of national security -- and has not been yet, said Viktor Kuvaldin of <t>a research center</t> funded by <s>former Soviet president Mikhail Gorbachev</s>.",Cooperation,AW|doc_id=3629|sent_id=1223|dataset=ace|osplit=test|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:former Soviet president Mikhail Gorbachev,Recipient:a research center
"We pretty much know that <t>Marinello</t>, while on the board, has arranged to get future money from <s>the USCF</s>.",Cooperation,AW|doc_id=3360|sent_id=1267|dataset=ace|osplit=dev|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:the USCF,Recipient:Marinello
"The gift, payable over three years, is the largest ever given <t>the university</t> by <s>an active faculty member</s>, according to UVA President John Casteen.",Cooperation,AW|doc_id=2961|sent_id=1259|dataset=ace|osplit=train|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:an active faculty member,Recipient:the university
<s>United States government</s> gives so much aid to <t>the state of Israel</t>.,Cooperation,AW|doc_id=1636|sent_id=1266|dataset=ace|osplit=train|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:United States government,Recipient:the state of Israel
"Of course outspoken organizations such as <s>Planned Parenthood</s>, which gives a lot of money to <t>Democrats</t>, will fight with everything they've got to keep the Democratic platform as liberal as possible.",Cooperation,AW|doc_id=2893|sent_id=1248|dataset=ace|osplit=train|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:Planned Parenthood,Beneficiary:Democrats
"Of course outspoken organizations such as <s>Planned Parenthood</s>, which gives a lot of money to <t>Democrats</t>, will fight with everything they've got to keep the Democratic platform as liberal as possible.",Cooperation,AW|doc_id=2893|sent_id=1248|dataset=ace|osplit=train|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:Planned Parenthood,Recipient:Democrats
"Separately, <t>former WorldCom CEO Bernard Ebbers</t> failed on April 29 to make a first repayment of 25 million dollars, plus interest, on a 400-million-dollar loan from <s>MCI</s>, the Journal said, citing SEC documents.",Cooperation,AW|doc_id=3705|sent_id=1255|dataset=ace|osplit=test|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:MCI,Recipient:former WorldCom CEO Bernard Ebbers
"Because he is now in default <s>MCI</s> must now seize additional assets owned by <t>Ebbers</t>, to secure the loan.",Conflict,AW|doc_id=3706|sent_id=1227|dataset=ace|osplit=test|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:MCI,Recipient:Ebbers
It took six weeks before <s>the USCF</s> paid the guaranteed prizes <t>the prize winners</t> had won at the US Open.,Cooperation,AW|doc_id=3335|sent_id=1240|dataset=ace|osplit=dev|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:the USCF,Recipient:the prize winners
"I predict that, if, in fact, the rumors about the agenda for the Florida meeting prove true, and <t>Marinello</t> resigns as President and is hired as move coordinator, the immediate result of this is that Sam Sloan will file another lawsuit (or amend his current complaint) charging the <s>USCF</s> EB members with self-dealing, violation of the <s>USCF</s>'s own bylaws, and every other thing, report us to the IRS, and demand that all <s>USCF</s> moneys which might be used to paid <t>Marinello</t> be frozen.",Cooperation,AW|doc_id=3366|sent_id=1236|dataset=ace|osplit=dev|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:USCF,Recipient:Marinello
"<t>Linda Fasulo</t>, <s>the U.N</s>. correspondent for NBC News and MSNBC, has written a pro-U.N. book, An Insider's Guide to <s>the U.N</s>. , which reads like <s>the U.N</s>. paid for it.",Cooperation,AW|doc_id=3412|sent_id=1247|dataset=ace|osplit=dev|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:the U.N,Beneficiary:Linda Fasulo
"The report did not give the amount of the fine, but said it would be ""exponentially larger"" than the historic 10 million dollars <s>Xerox</s> paid <t>the SEC</t> last year.",Cooperation,AW|doc_id=3703|sent_id=1261|dataset=ace|osplit=test|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:Xerox,Recipient:the SEC
The divorce settlement called for <s>Giuliani</s> to pay <t>Hanover</t> more than $6.8 million.,Cooperation,AW|doc_id=2168|sent_id=1256|dataset=ace|osplit=train|etype=Transaction:Transfer-Money,Transaction:Transfer-Money,Giver:Giuliani,Recipient:Hanover
